COD_LEGADO;PDF_RESOLVIDO
AAAM 10X3/8 BSPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 10X3/8 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 10X9/16 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAF 12X1/2 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 12X1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 12X1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 18X1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 18X1/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 18X3/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 30X1/2 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 30X1/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 30X3/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAM 14X3/8 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 14X7/8 UNF;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAM 15X1/2 NPT;ponta-lisa-x-macho-AAM-ATUALIZADO.pdf
AAAF 12X3/4 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 12X3/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 12X3/4 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 18X3/4 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 18XM22X1.5;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 20X1 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 30X3/8 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 30XM22X1.5;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 30XM42X2;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 8XM12X1.5;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 8XM14X1.5;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 12X3/8 BSP;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 12X3/8 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 12X7/8 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 20X1 NPT;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
AAAF 20X1.1/16 UNF;ponta-lisa-x-femea-AAF-ATUALIZADO.pdf
