COD_LEGADO;PDF_RESOLVIDO
XAEJC 4LL;joelho-para-painel-AEJC-ATUALIZADO.pdf
XAEJCP 16X3/4 UNF;joelho-com-contraporca-AEJCP-ATUALIZADO.pdf
XAEJCP 16X7/8 UNF;joelho-com-contraporca-AEJCP-ATUALIZADO.pdf
XAEJCP 16XM22X1.5;joelho-com-contraporca-AEJCP-ATUALIZADO.pdf
XAEJC 6L;joelho-para-painel-AEJC-ATUALIZADO.pdf
XAEJC 6S;joelho-para-painel-AEJC-ATUALIZADO.pdf
XAEJC 8L;joelho-para-painel-AEJC-ATUALIZADO.pdf
XAEJCP 10LX9/16 UNF;joelho-com-contraporca-AEJCP-ATUALIZADO.pdf
XAEJCP 10LXM14X1.5;joelho-com-contraporca-AEJCP-ATUALIZADO.pdf
XAEJCP 10SX3/8 BSP;joelho-com-contraporca-AEJCP-ATUALIZADO.pdf
XAEJC 8S;joelho-para-painel-AEJC-ATUALIZADO.pdf
XAEJCF 15X1/2;joelho-com-flange-AEJCF-ATUALIZADO.pdf
XAEJCF 16X1/2;joelho-com-flange-AEJCF-ATUALIZADO.pdf
XAEJCP 12SX3/8 BSP;joelho-com-contraporca-AEJCP-ATUALIZADO.pdf
XAEJCP 12SX7/8 UNF;joelho-com-contraporca-AEJCP-ATUALIZADO.pdf
XAEJCP 12SXM18X1.5;joelho-com-contraporca-AEJCP-ATUALIZADO.pdf
XAEJCF 18X3/4;joelho-com-flange-AEJCF-ATUALIZADO.pdf
XAEJCF 20X3/4;joelho-com-flange-AEJCF-ATUALIZADO.pdf
XAEJCF 22X3/4;joelho-com-flange-AEJCF-ATUALIZADO.pdf
XAEJCFR 28X1;joelho-com-flange-reforcado-AEJCFR-ATUALIZADO.pdf
XAEJCFR 30X1;joelho-com-flange-reforcado-AEJCFR-ATUALIZADO.pdf
XAEJCFR 30X1.1/4;joelho-com-flange-reforcado-AEJCFR-ATUALIZADO.pdf
XAEJCF 25X1;joelho-com-flange-AEJCF-ATUALIZADO.pdf
XAEJCF 25X1.1/4;joelho-com-flange-AEJCF-ATUALIZADO.pdf
XAEJCF 25X3/4;joelho-com-flange-AEJCF-ATUALIZADO.pdf
XAEATB 38X30;adaptador-para-tubo-boleado-AEATB-ATUALIZADO.pdf
XAEATB 38X6S;adaptador-para-tubo-boleado-AEATB-ATUALIZADO.pdf
XAEATB 38X8S;adaptador-para-tubo-boleado-AEATB-ATUALIZADO.pdf
XAEJB 10L;joelho-boleado-AEJB-ATUALIZADO.pdf
XAEJB 10S;joelho-boleado-AEJB-ATUALIZADO.pdf
XAETCP 16XM22X1.5;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 18X1.1/16 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 18X1/2 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 18X7/8 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 18XM22X1.5;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 20X1.1/16 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 20X3/4 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 20XM27X2;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 22X1.1/16 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 22X3/4 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 22XM27X1.5;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 25X1 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 25X1.5/16 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 25XM33X2;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 28X1 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 28X1.5/16 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 28XM27X2;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 30X1.1/4 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 30X1.5/8 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 30XM42X2;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 35X1.1/4 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 35X1.5/8 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 35XM42X2;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 38X1.1/2 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 38X1.7/8 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 38XM48X2;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 42X1.1/2 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 42X1.7/8 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 42XM48X2;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 6LX1/8 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 6LX7/16 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 6LXM10X1;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 6SX1/4 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 6SX7/16 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 6SXM12X1.5;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 8LX1/2 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 8LX1/4 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 8LXM12X1.5;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 8SX1/2 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 8SX1/4 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 8SXM14X1.5;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAEJS 38;joelho-AEJS-ATUALIZADO.pdf
XAEJS 42;joelho-AEJS-ATUALIZADO.pdf
XAEJS 6L;joelho-AEJS-ATUALIZADO.pdf
XAEJM 35X1.1/2 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJS 6S;joelho-AEJS-ATUALIZADO.pdf
XAEJS 8L;joelho-AEJS-ATUALIZADO.pdf
XAEJS 8S;joelho-AEJS-ATUALIZADO.pdf
XAEJM 35X1.1/4 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 8SX1/4 BSPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 8SX1/4 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 8SX1/8 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAETB 10L;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 10S;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 12L;tee-boleado-AETB-ATUALIZADO.pdf
XAEJM 38X1.1/2 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAETB 12S;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 14;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 15;tee-boleado-AETB-ATUALIZADO.pdf
XAEJM 38X1.1/4 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAETB 16;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 8S;tee-boleado-AETB-ATUALIZADO.pdf
XAETCP 10LX1/4 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAEJM 42X1.1/2 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 42X1.1/4 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAETCP 12SX3/4 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 12SX3/8 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 12SXM18X1.5;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAEJM 42X2 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAETB 25;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 28;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 30;tee-boleado-AETB-ATUALIZADO.pdf
XAEJM 4LLX1/8 BSPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 4LLX1/8 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 4LLXM6X1;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAETCP 10LX9/16 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 10LXM14X1.5;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 10SX3/8 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAEJM 4LLXM8X1K;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 4LLXMK8X1;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 6LLX1/8 BSPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAETCP 15X1/2 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 15X3/4 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 15X7/8 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAEJM 6LLX1/8 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 6LLXMK10X1;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAETB 35;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 38;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 42;tee-boleado-AETB-ATUALIZADO.pdf
XAEJM 6LX1/4 BSPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 6LX1/4 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 6LX1/8 BSPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAETCP 10SX9/16 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 10SXM16X1.5;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 12LX3/4 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAEJM 6LX1/8 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 6LX3/8 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJS 10L;joelho-AEJS-ATUALIZADO.pdf
XAEJS 10S;joelho-AEJS-ATUALIZADO.pdf
XAETCP 15XM18X1.5;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 16X1/2 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 16X7/8 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAEJM 6SX1/4 BSPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 6SX1/4 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJS 12L;joelho-AEJS-ATUALIZADO.pdf
XAEJS 12S;joelho-AEJS-ATUALIZADO.pdf
XAEJS 14;joelho-AEJS-ATUALIZADO.pdf
XAETB 6L;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 6S;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 8L;tee-boleado-AETB-ATUALIZADO.pdf
XAEJM 8LLX1/8 BSPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 8LLX1/8 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 8LLXMK10X1;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJS 15;joelho-AEJS-ATUALIZADO.pdf
XAEJS 16;joelho-AEJS-ATUALIZADO.pdf
XAEJS 18;joelho-AEJS-ATUALIZADO.pdf
XAETCP 12LX3/8 BSP;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 12LX9/16 UNF;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAETCP 12LXM16X1.5;tee-com-contraporca-AETCP-ATUALIZADO.pdf
XAEJS 20;joelho-AEJS-ATUALIZADO.pdf
XAEJS 22;joelho-AEJS-ATUALIZADO.pdf
XAEJS 25;joelho-AEJS-ATUALIZADO.pdf
XAETB 18;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 20;tee-boleado-AETB-ATUALIZADO.pdf
XAETB 22;tee-boleado-AETB-ATUALIZADO.pdf
XAEJM 8LX1/4 BSPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 8LX1/4 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 8LX1/8 BSPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJS 28;joelho-AEJS-ATUALIZADO.pdf
XAEJS 30;joelho-AEJS-ATUALIZADO.pdf
XAEJS 35;joelho-AEJS-ATUALIZADO.pdf
XAEJM 30X1.1/4 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 8LX1/8 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEJM 8LX3/8 NPT;joelho-macho-bspt-AEJM-ATUALIZADO.pdf
XAEUCF 15X1/2;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 16X1/2;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 18X3/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 25X12X1 - 6000 LBS;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 25X3/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 25X1.1/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 25X3/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 28X1;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 42X1.1/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 42X2;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 42X2 NPT;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 28X1;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 30X1;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 30X1.1/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 28X1.1/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 30X1;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 30X1.1/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFM 25X1;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 16X1/2;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 16X3/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 38X1.1/2;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 38X1.1/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 42X1.1/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUB 25;uniao-boleada-AEUB-ATUALIZADO.pdf
XAEUBR 22X18;uniao-boleada-de-reducao-AEUBR-ATUALIZADO.pdf
XAEUCF 35X1.1/2;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 35X1.1/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 38X1.1/2;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 20X1;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 20X1.1/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 20X3/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 20X3/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 22X3/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 25X1;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 38X1.1/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 38X2;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCF 42X1.1/2;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 25X1;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 25X1.1/4;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUCFR 25X120X1;conexao-joelho-com-flange-quadrado-AEUCF-ATUALIZADO.pdf
XAEUF 18XM22X1.5;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 20X1 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 20X1.3/16 UNF;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 38X1.1/2 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 38X1.1/2 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 38X1.1/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8SX1/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8SX1/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8SXM14X1.5;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 20X1/2 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 20X1/2 BSPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 20X1/2 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 38X1.1/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 38X1.5/8 UNF JIC;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 38X1.7/8 UNF;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFG 15X35;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFG 22X40;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFJ 10LX1/4 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUF 20X1/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 20X3/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 20X3/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 38X2 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 38XM48X2;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 42X1.1/2 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFJ 10SX1/2 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUFJ 10SX1/4 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUFJ 12LX1/4 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUF 20XM27X2;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 22X1 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 22X1 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 42X1.1/2 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 42X1.1/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 42X1.1/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFJ 12SX1/2 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUFJ 12SX1/4 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUFJ 16X1/2 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUF 22X1.3/16 UNF;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 22X3/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 22X3/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 42X1.7/8 UNF;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 42XM48X2;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 4LLX1/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFJ 18X1/2 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUFJ 4LLX1/4 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUFJ 6LX1/4 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUF 22XM26X1.5;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 25X1 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 25X1 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 4LLX1/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LX1/2 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LX1/2 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFJ 6SX1/2 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUFJ 8LX1/4 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUFJ 8SX1/2 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUF 25X1.1/2 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 25X1.5/16 UNF;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 25X1/2 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LX1/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LX1/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LX1/8 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFJ 8SX1/4 BSP;junta-de-bordas-cortantes-AEUFJ-ATUALIZADO.pdf
XAEUFS 10L;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUFS 12S;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUF 25X3/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 25X3/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 25XM33X2;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LX1/8 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LX3/8 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LX3/8 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFS 14;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUFS 15;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUFS 16;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUF 28X1 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 28X1 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 28X1.1/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LX7/16 UNF;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LXM10X1;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LXM18X1.5;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFS 18;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUFS 20;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUFS 22;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUF 28X1.5/16 UNF;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 28X3/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 28X3/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6LXM22X1.5;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6SX1/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6SX1/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFS 25;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUFS 28;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUFS 30;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUF 28XM33X2;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 30X1 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 30X1 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 6SXM12X1.5;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8LX1/2 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8LX1/2 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFS 35;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUFS 38;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUFS 42;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUF 30X1.1/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 30X1.1/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 30X1.5/16 UNF JIC;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8LX1/2 UNF;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8LX1/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8LX1/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUFS 6L;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUFS 8L;uniao-com-flange-para-solda-AEUFS-ATUALIZADO.pdf
XAEUF 30X1.5/8 UNF;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 30X1/2 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 30X3/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8LX1/8 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8LX1/8 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8LX3/8 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 30X3/8 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 30XM42X2;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 32X1.1/4 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8LX3/8 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8LXM12X1.5;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 8LXM16X1.5;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 35X1 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 35X1 NPT;uniao-femea-AEUF-ATUALIZADO.pdf
XAEUF 35X1.1/4 BSP;uniao-femea-AEUF-ATUALIZADO.pdf
