DYNAR_COD;CATEGORIA;BITOLA;PARKER_EQUIV;GATES_EQUIV;SITUACAO
AABSI 3/8 UNF;CONEXAO;;;;Analise Tecnica
AABSI 5/16 UNF;CONEXAO;;;;Analise Tecnica
AAF3 A1/2;ARRUELA;;;;Analise Tecnica
AAF3 A3/8;ARRUELA;;;;Analise Tecnica
AAF6 A3/4;ARRUELA;;;;Analise Tecnica
AAF6 A5/8;ARRUELA;;;;Analise Tecnica
AABJQ 3/4 BSPT;CONEXAO;;;;Analise Tecnica
AABJQ 3/8 BSPT;CONEXAO;;;;Analise Tecnica
AABM 1 NPT;CONEXAO;;;;Analise Tecnica
AABSI 7/16 UNF;CONEXAO;;;;Analise Tecnica
AABSI 7/8 UNF;CONEXAO;;;;Analise Tecnica
AABSI 9/16 UNF;CONEXAO;;;;Analise Tecnica
AAF3 A5/16;ARRUELA;;;;Analise Tecnica
AAF3 A7/16;ARRUELA;;;;Analise Tecnica
AAF3 AM 12;ARRUELA;;;;Analise Tecnica
AABM 1/2 BSP;CONEXAO;;;;Analise Tecnica
AABM 3/4 BSP;CONEXAO;;;;Analise Tecnica
AABM 3/8 BSP;CONEXAO;;;;Analise Tecnica
AABSI M10X1;CONEXAO;;;;Analise Tecnica
AABSI M12X1.5;CONEXAO;;;;Analise Tecnica
AABSI M12X1.5K;CONEXAO;;;;Analise Tecnica
AAF3 AM10;ARRUELA;;;;Analise Tecnica
AAF3 AM12;ARRUELA;;;;Analise Tecnica
AAF3 AM20;ARRUELA;;;;Analise Tecnica
AAF6 1.1/4 MEIA;CONEXAO;;;;Analise Tecnica
AABQI 1/4 NPT;CONEXAO;;;;Analise Tecnica
AABS 1/8 BSPT;CONEXAO;;;;Analise Tecnica
AABS 7/16 UNF;CONEXAO;;;;Analise Tecnica
AABSI M14X1.5;CONEXAO;;;;Analise Tecnica
AABSI M16X1.5;CONEXAO;;;;Analise Tecnica
AABSI M18X1.5;CONEXAO;;;;Analise Tecnica
AAF3 AM27;ARRUELA;;;;Analise Tecnica
AAF3 AM6;ARRUELA;;;;Analise Tecnica
AAF3 AM8;ARRUELA;;;;Analise Tecnica
AAF6 AM14;ARRUELA;;;;Analise Tecnica
AAF6 AM16;ARRUELA;;;;Analise Tecnica
AAF6 AM20;ARRUELA;;;;Analise Tecnica
AABSI 1 BSP;CONEXAO;;;;Analise Tecnica
AABSI 1 BSPT;CONEXAO;;;;Analise Tecnica
AABSI 1 NPT;CONEXAO;;;;Analise Tecnica
AABSI M20X1.5;CONEXAO;;;;Analise Tecnica
AABSI M22X1.5;CONEXAO;;;;Analise Tecnica
AABSI M22X1.5 DIN906;CONEXAO;;;;Analise Tecnica
AAF3 P1/2X1.1/2;PARAFUSO;;;;Analise Tecnica
AAF3 P3/8X1.1/4;PARAFUSO;;;;Analise Tecnica
AAF3 P5/16X1.1/4;PARAFUSO;;;;Analise Tecnica
AABSI 1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AABSI 1.1/2 BSP;CONEXAO;;;;Analise Tecnica
AABSI 1.1/2 BSP JC;CONECAO;;;;Analise Tecnica
AABSI M24X1.5;CONEXAO;;;;Analise Tecnica
AABSI M26X1.5;CONEXAO;;;;Analise Tecnica
AABSI M27X2;CONEXAO;;;;Analise Tecnica
AAF3 P7/16X1.1/2;PARAFUSO;;;;Analise Tecnica
AAF3 PM10X30;PARAFUSO;;;;Analise Tecnica
AAF3 PM10X40;PARAFUSO;;;;Analise Tecnica
AAF6 1/2 MEIA;CONEXAO;;;;Analise Tecnica
AABSI 1.1/2 NPT;CONEXAO;;;;Analise Tecnica
AABSI 1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AABSI 1.1/4 BSPT;CONEXAO;;;;Analise Tecnica
AABSI M33X2;CONEXAO;;;;Analise Tecnica
AABSI M36X1.5;CONEXAO;;;;Analise Tecnica
AABSI M42X2;CONEXAO;;;;Analise Tecnica
AAF3 PM10X50;PARAFUSO;;;;Analise Tecnica
AAF3 PM12X35;PARAFUSO;;;;Analise Tecnica
AAF3 PM12X35 INOX;PARAFUSO;;;;Analise Tecnica
AAF6 M8X30 INOX;PARAFUSO;;;;Analise Tecnica
AAF6 P1/2X1.3/4;PARAFUSO;;;;Analise Tecnica
AAF6 P1/2X1.3/4 INOX;PARAFUSO;;;;Analise Tecnica
AABSI 1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AABSI 1.3/16 UNF;CONEXAO;;;;Analise Tecnica
AABSI 1.5/16 UNF;CONEXAO;;;;Analise Tecnica
AABSI M48X2;CONEXAO;;;;Analise Tecnica
AABSI M8X1;CONEXAO;;;;Analise Tecnica
AABSI M8X1 DIN906;CONEXAO;;;;Analise Tecnica
AAF3 PM12X40;PARAFUSO;;;;Analise Tecnica
AAF3 PM12X50;PARAFUSO;;;;Analise Tecnica
AAF3 PM14X40;PARAFUSO;;;;Analise Tecnica
AAF6 1 MEIA;CONEXAO;;;;Analise Tecnica
AABSI 1.5/8 UNF;CONEXAO;;;;Analise Tecnica
AABSI 1.7/8 UNF;CONEXAO;;;;Analise Tecnica
AABSI 1/16 NPT;CONEXAO;;;;Analise Tecnica
AAF3 1 MEIA;CONEXAO;;;;Analise Tecnica
AAF3 PM6X20;PARAFUSO;;;;Analise Tecnica
AAF3 PM6X35;PARAFUSO;;;;Analise Tecnica
AAF3 PM6X55;PARAFUSO;;;;Analise Tecnica
AAF6 2 MEIA;CONEXAO;;;;Analise Tecnica
AABSI 1/2 BSP;CONEXAO;;;;Analise Tecnica
AABSI 1/2 BSPT;CONEXAO;;;;Analise Tecnica
AABSI 1/2 BSPX4;CONEXAO;;;;Analise Tecnica
AAF3 1.1/2 MEIA;CONEXAO;;;;Analise Tecnica
AAF3 PM8X25;PARAFUSO;;;;Analise Tecnica
AAF3 PM8X35;PARAFUSO;;;;Analise Tecnica
AAF3 S1/2X1.1/2;PARAFUSO;;;;Analise Tecnica
AABSI 1/2 BSPX6;CONEXAO;;;;Analise Tecnica
AABSI 1/2 NPT;CONEXAO;;;;Analise Tecnica
AABSI 1/2 UNF;CONEXAO;;;;Analise Tecnica
AAF3 1.1/4 MEIA;CONEXAO;;;;Analise Tecnica
AAF3 S3/8X1.1/4;PARAFUSO;;;;Analise Tecnica
AAF3 S5/16X1.1/4;PARAFUSO;;;;Analise Tecnica
AAF3 S7/16 -14UNCX1.1/2;PARAFUSO;;;;Analise Tecnica
AAF6 1.1/2 MEIA;CONEXAO;;;;Analise Tecnica
AABSI 1/4 BSP;CONEXAO;;;;Analise Tecnica
AABSI 1/4 BSPT;CONEXAO;;;;Analise Tecnica
AABSI 1/4 BSPX2-SW13243071;CONEXAO;;;;Analise Tecnica
AAF3 1/2 MEIA;CONEXAO;;;;Analise Tecnica
AAF3 S7/16X1.1/2;PARAFUSO;;;;Analise Tecnica
AAF3 S7/16X1.1/4;PARAFUSO;;;;Analise Tecnica
AAF3 SM10X30;PARAFUSO;;;;Analise Tecnica
AAF6 3/4 MEIA;CONEXAO;;;;Analise Tecnica
AABSI 1/4 NPT;CONEXAO;;;;Analise Tecnica
AABSI 1/8 BSP;CONEXAO;;;;Analise Tecnica
AABSI 1/8 BSPT;CONEXAO;;;;Analise Tecnica
AAAMO 18X3/4 BSP;CONEXAO;;;;Analise Tecnica
AABJ 1 NPT 646;CONEXAO;;;;Analise Tecnica
AABJ 1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AABJ 1.1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAM 16X1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AAAM 16X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAM 16X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 42X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 42X1.7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAM 42X2 NPT;CONEXAO;;;;Analise Tecnica
AAAMO 18XM22X1.5;CONEXAO;;;;Analise Tecnica
AAAMO 18XM26X1.5;CONEXAO;;;;Analise Tecnica
AABJ 1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AABJ 1.3/16 UNF;CONEXAO;;;;Analise Tecnica
AABJ 1.5/16 UNF;CONEXAO;;;;Analise Tecnica
AAAM 16X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAM 16X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 16X3/4 UNF;CONEXAO;;;;Analise Tecnica
AAAM 4X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 4X1/8 NPT;CONEXAO;;;;Analise Tecnica
AAAMO 20X1/2 BSP;CONEXAO;;;;Analise Tecnica
AABJ 1.5/8 UNF;CONEXAO;;;;Analise Tecnica
AABJ 1.7/8 UNF;CONEXAO;;;;Analise Tecnica
AABJ 1/2 BSPT;CONEXAO;;;;Analise Tecnica
AAAM 16X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAM 16X7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAM 18X1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AAAM 6X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAM 6X1/2 UNF;CONEXAO;;;;Analise Tecnica
AAAM 6X1/4 BSPT;CONEXAO;;;;Analise Tecnica
AAAMO 20XM27X2;CONEXAO;;;;Analise Tecnica
AAAMO 22X1 BSP;CONEXAO;;;;Analise Tecnica
AABJ 1/2 NPT;CONEXAO;;;;Analise Tecnica
AABJ 1/2 UNF;CONEXAO;;;;Analise Tecnica
AABJ 1/4 BSPT;CONEXAO;;;;Analise Tecnica
AAAM 18X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAM 18X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 6X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 6X1/8 NPT;CONEXAO;;;;Analise Tecnica
AAAM 6X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAMO 22X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 22X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 22XM26X1.5;CONEXAO;;;;Analise Tecnica
AABJ 1/4 NPT;CONEXAO;;;;Analise Tecnica
AABJO 1.1/2 BSP;CONEXAO;;;;Analise Tecnica
AABJO 1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAM 20X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAM 20X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 20X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 6X7/16 UNF;CONEXAO;;;;Analise Tecnica
AAAM 8X1/2 UNF;CONEXAO;;;;Analise Tecnica
AAAM 8X1/4 BSPT;CONEXAO;;;;Analise Tecnica
AAAMO 25X1 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 25X3/4 BSP;CONEXAO;;;;Analise Tecnica
AABJO M12X1;CONEXAO;;;;Analise Tecnica
AABJO M12X1.5;CONEXAO;;;;Analise Tecnica
AABJO M14X1.5;CONEXAO;;;;Analise Tecnica
AAAM 20X3/4 UNF;CONEXAO;;;;Analise Tecnica
AAAM 20X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAM 22X1 NPT;CONEXAO;;;;Analise Tecnica
AAAM 8X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 8X1/8 NPT;CONEXAO;;;;Analise Tecnica
AAAM 8X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAMO 25XM33X2;CONEXAO;;;;Analise Tecnica
AAAMO 28X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 28XM33X2;CONEXAO;;;;Analise Tecnica
AABJ 3/4 NPT;CONEXAO;;;;Analise Tecnica
AABJ 3/4 UNF;CONEXAO;;;;Analise Tecnica
AABJ 3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAM 22X1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AAAM 22X1.3/16 UNF;CONEXAO;;;;Analise Tecnica
AAAM 22X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM T18XJIC8;CONEXAO;;;;Analise Tecnica
AAAMO 30X1 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 30X1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 30X3/4 BSP;CONEXAO;;;;Analise Tecnica
AABJO 1/2 BSP;CONEXAO;;;;Analise Tecnica
AABJO 1/4 BSP;CONEXAO;;;;Analise Tecnica
AABJO 1/8 BSP;CONEXAO;;;;Analise Tecnica
AAAM 25.4X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 25X1 NPT;CONEXAO;;;;Analise Tecnica
AAAM 25X1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AAAMO 10X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 10X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 30XM42X2;CONEXAO;;;;Analise Tecnica
AAAMO 35X1 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 35XM42X2;CONEXAO;;;;Analise Tecnica
AABJO M16X1.5;CONEXAO;;;;Analise Tecnica
AABJO M18X1.5;CONEXAO;;;;Analise Tecnica
AABJO M20X1.5;CONEXAO;;;;Analise Tecnica
AAAM 25X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 25X1.5/16 UNF;CONEXAO;;;;Analise Tecnica
AAAM 25X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAMO 10X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 10XM14X1.5;CONEXAO;;;;Analise Tecnica
AAAMO 10XM16X1.5;CONEXAO;;;;Analise Tecnica
AAAMO 38X1.1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 38X1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AABJ 3/8 UNF;CONEXAO;;;;Analise Tecnica
AABJ 7/16 UNF;CONEXAO;;;;Analise Tecnica
AAAM 25X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 25X7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAMO 12X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 12X1/4 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 38XM48X2;CONEXAO;;;;Analise Tecnica
AAAMO 42X1.1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 42X1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AABJO 3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAM 28X1 NPT;CONEXAO;;;;Analise Tecnica
AAAM 28X1.5/16 UNF;CONEXAO;;;;Analise Tecnica
AAAMO 12X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 12XM16X1.5;CONEXAO;;;;Analise Tecnica
AAAMO 12XM18X1.5;CONEXAO;;;;Analise Tecnica
AAAMO 42X2 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 42XM48X2;CONEXAO;;;;Analise Tecnica
AABJO M22X1.5;CONEXAO;;;;Analise Tecnica
AABJO M24X1.5;CONEXAO;;;;Analise Tecnica
AABJO M24X2;CONEXAO;;;;Analise Tecnica
AAAM 28X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 30X1 NPT;CONEXAO;;;;Analise Tecnica
AAAM 30X1.1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAMO 14X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 14X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 14XM20X1.5;CONEXAO;;;;Analise Tecnica
AAAMO 6X1/4 BSP;CONEXAO;;;;Analise Tecnica
AABJ 7/8 UNF;CONEXAO;;;;Analise Tecnica
AABJ 9/16 UNF;CONEXAO;;;;Analise Tecnica
AABJO 1 BSP;CONEXAO;;;;Analise Tecnica
AAAM 30X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 30X1.5/8 UNF;CONEXAO;;;;Analise Tecnica
AAAM 30X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAMO 15X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 6X1/8 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 6XM12X1.5;CONEXAO;;;;Analise Tecnica
AABJO 3/8 BSP;CONEXAO;;;;Analise Tecnica
AABJO M10X1;CONEXAO;;;;Analise Tecnica
AABJO M10X1.5;CONEXAO;;;;Analise Tecnica
AAAM 30X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 35X1 NPT;CONEXAO;;;;Analise Tecnica
AAAM 35X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAMO 15XM16X1.5;CONEXAO;;;;Analise Tecnica
AAAMO 15XM18X1.5;CONEXAO;;;;Analise Tecnica
AAAMO 8X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 8XM12X1.5;CONEXAO;;;;Analise Tecnica
AABJ 1/8 NPT;CONEXAO;;;;Analise Tecnica
AABJ 2.1/2 UNF;CONEXAO;;;;Analise Tecnica
AABJ 3 NPT;CONEXAO;;;;Analise Tecnica
AAAM 35X1.7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAM 38X1.1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAMO 16X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 8XM14X1.5;CONEXAO;;;;Analise Tecnica
AABGO 1/2 BSP;CONEXAO;;;;Analise Tecnica
AABJ 1 NPT;CONEXAO;;;;Analise Tecnica
AAAM 15X3/8 BSPT;CONEXAO;;;;Analise Tecnica
AAAM 15X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAAM 15X7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAM 38X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAAM 38X1.7/8 UNF;CONEXAO;;;;Analise Tecnica
AAAM 42X1.1/2 NPT;CONEXAO;;;;Analise Tecnica
AAAMO 16X3/8 BSP;CONEXAO;;;;Analise Tecnica
AAAMO 16XM18X1.5;CONEXAO;;;;Analise Tecnica
AAAMO 16XM22X1.5;CONEXAO;;;;Analise Tecnica
AAJF 2 BSP TUPY;CONEXAO;;;;Analise Tecnica
AAJF 2.1/2;CONEXAO;;;;Analise Tecnica
AAJF 2.1/2 BSP TUPY;CONEXAO;;;;Analise Tecnica
AAFF 2 NPT X 2 BSP;CONEXAO;;;;Analise Tecnica
AAFF 2.1/2X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAFF 28X22 W A1;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSP X 3/8 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSP X 7/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSP X 7/8 UNF;CONEXAO;;;;Analise Tecnica
AAFF 9/16X1/2 UNF;CONEXAO;;;;Analise Tecnica
AAFF 9/16X3/8 UNF;CONEXAO;;;;Analise Tecnica
AAFF 9/16X9/16 UNF;CONEXAO;;;;Analise Tecnica
AAJM 1/4X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAJM 3/4 NPT;CONEXAO;;;;Analise Tecnica
AAJM 3/8 NPT;CONEXAO;;;;Analise Tecnica
AAFF 2X1 NPT;CONEXAO;;;;Analise Tecnica
AAFF 2X1.1/2 BSP;CONEXAO;;;;Analise Tecnica
AAFF 2X1.1/2 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSP X 9/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSP X M12X1.5;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSP X M14X1.5;CONEXAO;;;;Analise Tecnica
AAFF M10X1XM10X1;CONEXAO;;;;Analise Tecnica
AAFF M10X1XM8X1;CONEXAO;;;;Analise Tecnica
AAFF M12X1.5XM10X1;CONEXAO;;;;Analise Tecnica
AAJM 3/8X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAJM 3/8X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAJMF 1 NPT X 1 BSP;CONEXAO;;;;Analise Tecnica
AAFF 2X1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 2X1.1/4 NPT;CONEXAO;;;;Analise Tecnica
AAFF 2X1/2 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSP X M16X1.5;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSP X M18X1.5;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSP X M20X1.5;CONEXAO;;;;Analise Tecnica
AAFF M12X1.5XM12X1.5;CONEXAO;;;;Analise Tecnica
AAFF M12X1.5XM8X1;CONEXAO;;;;Analise Tecnica
AAFF M14X1.5 X 1/4 BSP;CONEXAO;;;;Analise Tecnica
AAJMF 1/2 BSPT;CONEXAO;;;;Analise Tecnica
AAJMF 1/2 NPT;CONEXAO;;;;Analise Tecnica
AAJMF 1/2X1/2 BSPT;CONEXAO;;;;Analise Tecnica
AAFF 2X2 BSP;CONEXAO;;;;Analise Tecnica
AAFF 2X2 NPT;CONEXAO;;;;Analise Tecnica
AAFF 2X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSP X M26X1.5;CONEXAO;;;;Analise Tecnica
AAFF 3/8 BSPT X 3/8 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 1 BSP;CONEXAO;;;;Analise Tecnica
AAFF M14X1.5XM14X1.5;CONEXAO;;;;Analise Tecnica
AAFF M16X1.5 X 9/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF M16X1.5XM10X1;CONEXAO;;;;Analise Tecnica
AAJMF 1/4 BSP;CONEXAO;;;;Analise Tecnica
AAL 15X8;CONEXAO;;;;Analise Tecnica
AAL 16X10;CONEXAO;;;;Analise Tecnica
AAFF 2X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAFF 2X3/8 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/4 BSP X 3/4 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 1/2 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 1/2 UNF;CONEXAO;;;;Analise Tecnica
AAFF M16X1.5XM12X1.5;CONEXAO;;;;Analise Tecnica
AAFF M16X1.5XM14X1.5;CONEXAO;;;;Analise Tecnica
AAFF M16X1.5XM16X1.5;CONEXAO;;;;Analise Tecnica
AAJMF 1/8 NPT;CONEXAO;;;;Analise Tecnica
AAJMF 1/8X1/4 NPT;CONEXAO;;;;Analise Tecnica
AAJMF 1/8X1/8 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/4 BSP X 3/4 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/4 BSP X 7/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/4 BSP X 7/8 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 1/8 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 3/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF M18X1.5XM12X1.5;CONEXAO;;;;Analise Tecnica
AAFF M18X1.5XM16X1.5;CONEXAO;;;;Analise Tecnica
AAFF M18X1.5XM18X1.5;CONEXAO;;;;Analise Tecnica
AAL 12X10;CONEXAO;;;;Analise Tecnica
AAL 12X4;CONEXAO;;;;Analise Tecnica
AAL 12X6;CONEXAO;;;;Analise Tecnica
AAFF 3/4 BSP X M26X1.5;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X 1 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X 1.1/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 3/4 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 3/8 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 3/8 UNF;CONEXAO;;;;Analise Tecnica
AAFF M20X1.5 X 3/4 UNF;CONEXAO;;;;Analise Tecnica
AAFF M20X1.5XM16X1.5;CONEXAO;;;;Analise Tecnica
AAFF M20X1.5XM20X1.5;CONEXAO;;;;Analise Tecnica
AAL 16X12;CONEXAO;;;;Analise Tecnica
AAL 16X14;CONEXAO;;;;Analise Tecnica
AAL 16X15;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X 1.1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X 1/2 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X 1/2 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 5/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X 7/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X M10X1;CONEXAO;;;;Analise Tecnica
AAFF M22X1.5XM14X1.5;CONEXAO;;;;Analise Tecnica
AAFF M22X1.5XM16X1.5;CONEXAO;;;;Analise Tecnica
AAFF M22X1.5XM18X1.5;CONEXAO;;;;Analise Tecnica
AAJMF 3/4 BSP;CONEXAO;;;;Analise Tecnica
AAJMF 3/4 NPT;CONEXAO;;;;Analise Tecnica
AAJMF 3/4X3/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X 1/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X 3/4 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X 3/4 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X M12X1.5;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X M14X1.5;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X M16X1.5;CONEXAO;;;;Analise Tecnica
AAFF M22X1.5XM20X1.5;CONEXAO;;;;Analise Tecnica
AAFF M22X1.5XM22X1.5;CONEXAO;;;;Analise Tecnica
AAFF M24X1.5XM16X1.5;CONEXAO;;;;Analise Tecnica
AAL 12X8;CONEXAO;;;;Analise Tecnica
AAL 14X10;CONEXAO;;;;Analise Tecnica
AAL 14X12;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X 3/8 BSP;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X 7/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X 7/8 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X M18X1.5;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X M20X1.5;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X M22X1.5;CONEXAO;;;;Analise Tecnica
AAFF M24X1.5XM22X1.5;CONEXAO;;;;Analise Tecnica
AAFF M24X1.5XM24X1.5;CONEXAO;;;;Analise Tecnica
AAFF M26X1.5XM22X1.5;CONEXAO;;;;Analise Tecnica
AAL 16X4;CONEXAO;;;;Analise Tecnica
AAL 16X6;CONEXAO;;;;Analise Tecnica
AAL 16X8;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X M22X1.5;CONEXAO;;;;Analise Tecnica
AAFF 3/4 NPT X M24X1.5;CONEXAO;;;;Analise Tecnica
AAFF 3/4X1 NPT;CONEXAO;;;;Analise Tecnica
AAFF 3/8 NPT X M33X2;CONEXAO;;;;Analise Tecnica
AAFF 3/8X1.3/16 UNF;CONEXAO;;;;Analise Tecnica
AAFF 3/8X1/2 BSP;CONEXAO;;;;Analise Tecnica
AAFF M26X1.5XM24X1.5;CONEXAO;;;;Analise Tecnica
AAFF M26X1.5XM26X1.5;CONEXAO;;;;Analise Tecnica
AAFF M27X2XM27X2;CONEXAO;;;;Analise Tecnica
AAJMF 3/4X3/4 NPT;CONEXAO;;;;Analise Tecnica
AAJMF 3/8 BSP;CONEXAO;;;;Analise Tecnica
