DYNAR_COD;CATEGORIA;BITOLA;PARKER_EQUIV;GATES_EQUIV;SITUACAO
12447 01 28;CONEXAO;;;;Analise Tecnica
12447 02 18;CONEXAO;;;;Analise Tecnica
18-013-203;MANOMETRO;;;;Analise Tecnica
18-013-207;MANOMETRO;;;;Analise Tecnica
18-013-208;MANOMETRO;;;;Analise Tecnica
10029 10 00;CONEXAO;;;;Analise Tecnica
10040 06 00;CONEXAO;;;;Analise Tecnica
10040 08 00;CONEXAO;;;;Analise Tecnica
102B 3/8;CONEXAO;;;;Analise Tecnica
10426 06 28;CONEXAO;;;;Analise Tecnica
12447 02 28;CONEXAO;;;;Analise Tecnica
12447 03 18;CONEXAO;;;;Analise Tecnica
12447 04 28;CONEXAO;;;;Analise Tecnica
18-015-209;MANOMETRO;;;;Analise Tecnica
18-013-210;MANOMETRO;;;;Analise Tecnica
18-013-211;MANOMETRO;;;;Analise Tecnica
10051 05 28;CONEXAO;;;;Analise Tecnica
10060 06 00;CONEXAO;;;;Analise Tecnica
100B 1/2;CONEXAO;;;;Analise Tecnica
10A51 04 05;CONEXAO;;;;Analise Tecnica
10A51 05 05;CONEXAO;;;;Analise Tecnica
10A51 06 05;CONEXAO;;;;Analise Tecnica
12447 05 28;CONEXAO;;;;Analise Tecnica
12447 06 28;CONEXAO;;;;Analise Tecnica
12447 06 38;CONEXAO;;;;Analise Tecnica
18-013-214;MANOMETRO;;;;Analise Tecnica
100B 1/4;CONEXAO;;;;Analise Tecnica
100B 1/8;CONEXAO;;;;Analise Tecnica
100B 3/4;CONEXAO;;;;Analise Tecnica
10K51 04 05;CONEXAO;;;;Analise Tecnica
10K51 06 28;CONEXAO;;;;Analise Tecnica
12447 07 38;CONEXAO;;;;Analise Tecnica
12447 07 48;CONEXAO;;;;Analise Tecnica
12467 04 28;CONEXAO;;;;Analise Tecnica
100B 3/8;CONEXAO;;;;Analise Tecnica
10125 08 18;CONEXAO;;;;Analise Tecnica
10125 08 48;CONEXAO;;;;Analise Tecnica
11004 06 00;CONEXAO;;;;Analise Tecnica
11-021-006;VALVULA;;;;Analise Tecnica
12467 05 28;CONEXAO;;;;Analise Tecnica
